                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4375,                 4.2888,                 4.2279,                 3.2397,                 7.9588,                 4.2632,                0.01235,                0.01571,                  0.005,                0.00145,                 3.1854,                   5.31,                 4.6014,                 2.9373,                 8.0237,                 4.5655,               0.003326,               0.003326,               0.003326
                      2,                 2.6446,                 3.1893,                  3.255,                 2.3643,                 3.9279,                 2.9332,                0.25927,                0.25598,                0.16695,                0.06991,                 2.0508,                 2.7799,                 2.5744,                 1.8192,                 3.2613,                 2.3057,              0.0065934,              0.0065934,              0.0065934
                      3,                 1.8272,                 2.1751,                 2.2169,                 1.7211,                 2.5765,                 2.0317,                0.34232,                0.35227,                0.27052,                0.12001,                 1.7753,                 2.6919,                 2.2001,                  1.753,                 3.0444,                 2.1182,              0.0097949,              0.0097949,              0.0097949
                      4,                 1.6284,                 1.8532,                 1.9624,                  1.621,                 2.1354,                 1.8698,                 0.5061,                0.49592,                0.48735,                0.24688,                 1.5067,                 1.7072,                 1.8695,                 1.5261,                 1.9615,                 1.8354,               0.009703,               0.009703,               0.009703
                      5,                  1.524,                 1.6689,                 1.8488,                 1.5439,                 1.8957,                 1.7889,                0.59259,                0.56549,                0.58244,                0.31958,                  1.455,                 1.5024,                 1.8103,                 1.4862,                  1.608,                 1.7898,               0.009703,               0.009703,               0.009703
                      6,                 1.4637,                 1.5584,                 1.7868,                 1.4995,                  1.742,                 1.7443,                0.60267,                0.56262,                 0.5975,                0.32417,                 1.4526,                 1.4683,                 1.7883,                 1.4507,                 1.5861,                 1.7752,               0.009604,               0.009604,               0.009604
                      7,                 1.4211,                 1.4755,                 1.7479,                 1.4702,                 1.6352,                 1.7176,                0.66037,                0.61867,                0.67502,                0.39308,                 1.3184,                 1.2899,                 1.6742,                 1.3607,                 1.3475,                 1.6732,               0.009505,               0.009505,               0.009505
                      8,                 1.3951,                 1.4182,                 1.7136,                 1.4515,                 1.5602,                 1.6889,                0.66567,                0.64602,                0.69354,                0.40979,                 1.3103,                 1.2392,                  1.656,                 1.3687,                 1.2851,                  1.688,               0.009406,               0.009406,               0.009406
                      9,                 1.3669,                 1.3625,                 1.6957,                 1.4287,                 1.5016,                 1.6749,                0.69808,                0.64086,                0.70689,                0.42213,                 1.2971,                 1.2193,                 1.6393,                 1.3442,                 1.2601,                 1.6552,               0.009307,               0.009307,               0.009307
                     10,                 1.3416,                 1.3307,                 1.6759,                 1.4043,                 1.4643,                 1.6615,                0.71011,                0.67031,                0.73746,                0.46184,                 1.2431,                 1.1157,                  1.594,                 1.2906,                 1.1406,                 1.5996,               0.009208,               0.009208,               0.009208
                     11,                 1.3264,                 1.3084,                 1.6644,                 1.3892,                 1.4313,                 1.6535,                0.70857,                0.66865,                 0.7373,                0.45647,                 1.2374,                 1.1172,                 1.5832,                 1.2887,                 1.1465,                 1.6063,               0.009109,               0.009109,               0.009109
                     12,                 1.3084,                 1.2772,                 1.6424,                 1.3803,                 1.3825,                 1.6386,                0.72702,                0.68746,                0.75834,                 0.4849,                 1.1923,                 1.0745,                 1.5491,                 1.2389,                 1.0929,                 1.5744,                0.00901,                0.00901,                0.00901
                     13,                 1.3008,                 1.2563,                 1.6348,                 1.3731,                 1.3597,                 1.6311,                0.73208,                0.68768,                0.75933,                0.49225,                 1.1693,                 1.0602,                 1.5368,                 1.2241,                  1.068,                 1.5768,               0.008911,               0.008911,               0.008911
                     14,                 1.2841,                 1.2339,                 1.6199,                 1.3593,                 1.3336,                 1.6192,                0.74554,                 0.7038,                0.78567,                  0.515,                 1.1539,                0.99924,                 1.5078,                  1.199,                 1.0133,                 1.5252,               0.008812,               0.008812,               0.008812
                     15,                 1.2627,                 1.2121,                 1.6043,                  1.336,                 1.3192,                 1.5984,                0.75145,                0.70611,                0.78839,                0.52321,                 1.1414,                0.99068,                 1.5092,                 1.1867,                0.99497,                 1.5282,               0.008713,               0.008713,               0.008713
                     16,                 1.2591,                 1.1937,                 1.6015,                 1.3321,                 1.2909,                 1.6028,                0.74462,                0.70399,                0.78803,                0.52022,                 1.1357,                0.98226,                 1.4972,                 1.1802,                 1.0089,                 1.5306,               0.008614,               0.008614,               0.008614
                     17,                 1.2482,                  1.177,                 1.5895,                 1.3206,                 1.2719,                 1.5914,                 0.7519,                0.71965,                0.79565,                0.52233,                 1.1313,                0.96915,                  1.493,                 1.1801,                0.97824,                 1.5235,               0.008515,               0.008515,               0.008515
                     18,                 1.2382,                 1.1572,                 1.5822,                 1.3137,                 1.2518,                  1.583,                0.77594,                0.72207,                0.80876,                0.54383,                 1.1061,                0.93347,                 1.4733,                 1.1526,                0.93993,                 1.5044,               0.008416,               0.008416,               0.008416
                     19,                 1.2271,                 1.1485,                  1.572,                 1.3011,                 1.2431,                  1.574,                 0.7567,                0.73305,                0.80543,                0.53581,                  1.105,                0.93178,                 1.4712,                 1.1539,                0.93993,                 1.4956,               0.008317,               0.008317,               0.008317
                     20,                 1.2179,                 1.1312,                 1.5616,                 1.2918,                 1.2188,                 1.5631,                0.77112,                0.73652,                0.81566,                0.55394,                 1.0894,                0.91771,                 1.4534,                 1.1298,                0.92949,                 1.4698,               0.008218,               0.008218,               0.008218
                     21,                 1.2121,                 1.1195,                 1.5598,                 1.2882,                 1.2129,                 1.5589,                0.76869,                0.74465,                0.82047,                0.55849,                 1.0799,                0.89854,                 1.4501,                   1.13,                0.90747,                 1.4721,               0.008119,               0.008119,               0.008119
                     22,                 1.2061,                 1.1082,                 1.5518,                 1.2796,                 1.2025,                 1.5545,                0.77478,                0.74512,                0.82219,                0.56332,                  1.069,                0.88046,                 1.4383,                 1.1123,                0.89307,                 1.4573,                0.00802,                0.00802,                0.00802
                     23,                 1.1973,                 1.0921,                 1.5424,                 1.2701,                 1.1824,                 1.5464,                0.78672,                0.74799,                0.82815,                0.56788,                 1.0675,                0.87169,                 1.4363,                 1.1108,                0.87416,                 1.4577,               0.007921,               0.007921,               0.007921
                     24,                 1.1864,                 1.0811,                 1.5392,                 1.2636,                 1.1632,                 1.5432,                 0.7965,                0.74466,                0.83217,                0.57412,                 1.0638,                0.86745,                 1.4319,                 1.1052,                0.87125,                 1.4512,               0.007822,               0.007822,               0.007822
                     25,                 1.1794,                 1.0734,                 1.5302,                 1.2553,                 1.1553,                 1.5373,                0.79825,                0.74076,                0.83317,                 0.5742,                 1.0565,                0.85401,                 1.4272,                 1.0984,                0.86305,                 1.4472,               0.007723,               0.007723,               0.007723
                     26,                 1.1716,                 1.0531,                 1.5216,                 1.2488,                 1.1408,                 1.5275,                0.79319,                0.75855,                0.83657,                0.57982,                   1.05,                0.84328,                 1.4224,                 1.0892,                0.85557,                 1.4392,               0.007624,               0.007624,               0.007624
                     27,                 1.1685,                  1.053,                 1.5206,                  1.244,                 1.1441,                 1.5225,                0.79743,                0.75076,                0.83894,                0.58376,                  1.048,                  0.842,                 1.4168,                 1.0865,                0.85546,                 1.4321,               0.007525,               0.007525,               0.007525
                     28,                 1.1642,                 1.0427,                 1.5189,                 1.2403,                 1.1279,                 1.5211,                0.80374,                0.75386,                0.84151,                0.58634,                 1.0397,                 0.8335,                 1.4103,                 1.0816,                0.84219,                 1.4276,               0.007426,               0.007426,               0.007426
                     29,                 1.1599,                 1.0301,                 1.5111,                 1.2341,                  1.115,                 1.5174,                0.79981,                0.76339,                 0.8433,                0.58887,                 1.0375,                0.82311,                 1.4077,                  1.078,                 0.8297,                 1.4267,               0.007327,               0.007327,               0.007327
                     30,                 1.1491,                 1.0295,                 1.5046,                  1.223,                 1.1118,                 1.5075,                0.80538,                0.76759,                0.84743,                0.59326,                 1.0327,                0.81967,                 1.4049,                 1.0727,                  0.822,                 1.4225,               0.007228,               0.007228,               0.007228
                     31,                 1.1462,                  1.011,                  1.501,                 1.2236,                 1.0877,                 1.5101,                0.81822,                0.75961,                0.85029,                0.59644,                 1.0318,                0.81648,                  1.404,                 1.0717,                0.81364,                 1.4225,               0.007129,               0.007129,               0.007129
                     32,                 1.1379,                 1.0124,                 1.4941,                 1.2134,                 1.0872,                 1.4979,                0.80937,                0.76815,                0.85053,                0.59711,                 1.0299,                0.81401,                 1.4025,                 1.0698,                0.81495,                 1.4198,                0.00703,                0.00703,                0.00703
                     33,                   1.13,                 1.0003,                 1.4877,                 1.2103,                 1.0705,                  1.496,                0.81205,                 0.7692,                0.85185,                0.59886,                  1.027,                0.81069,                 1.3992,                 1.0678,                0.81109,                 1.4172,               0.006931,               0.006931,               0.006931
                     34,                 1.1269,                0.98703,                 1.4868,                 1.2053,                  1.061,                 1.4947,                0.81511,                0.76601,                0.85203,                0.60026,                 1.0244,                0.80658,                 1.3978,                 1.0657,                0.80531,                 1.4155,               0.006832,               0.006832,               0.006832
                     35,                 1.1248,                0.98821,                 1.4865,                 1.2026,                 1.0645,                 1.4962,                0.82185,                0.76263,                0.85346,                0.60243,                 1.0216,                0.80315,                 1.3946,                 1.0582,                0.80756,                 1.4116,               0.006733,               0.006733,               0.006733
                     36,                 1.1133,                0.96964,                  1.469,                 1.1901,                 1.0432,                 1.4779,                0.82092,                0.76433,                0.85444,                0.60383,                 1.0191,                0.79926,                 1.3922,                 1.0573,                0.80201,                  1.411,               0.006634,               0.006634,               0.006634
                     37,                 1.1074,                0.96217,                 1.4696,                 1.1862,                 1.0379,                 1.4794,                0.81764,                0.77082,                0.85495,                0.60602,                 1.0163,                0.79586,                 1.3898,                 1.0542,                0.80108,                 1.4077,               0.006535,               0.006535,               0.006535
                     38,                 1.1085,                0.96285,                 1.4698,                 1.1848,                 1.0349,                 1.4803,                0.82531,                0.76722,                 0.8566,                0.60734,                 1.0155,                0.79317,                 1.3885,                 1.0534,                0.79489,                 1.4075,               0.006436,               0.006436,               0.006436
                     39,                 1.1069,                0.95922,                 1.4686,                 1.1805,                 1.0305,                 1.4776,                0.82094,                0.77155,                0.85741,                0.60812,                 1.0146,                0.78982,                 1.3877,                 1.0519,                0.79274,                 1.4058,               0.006337,               0.006337,               0.006337
